## Shape input card
imax 1 number of channels
jmax * number of background
kmax * number of nuisance parameters
----------------------------------------------------------------------------------------------------
bin         hww2l2v_13TeV_of2j_WH_SS_uu_1j
observation 383
shapes  *           * shapes/histos_hww2l2v_13TeV_of2j_WH_SS_uu_1j.root     histo_$PROCESS histo_$PROCESS_$SYSTEMATIC
shapes  data_obs           * shapes/histos_hww2l2v_13TeV_of2j_WH_SS_uu_1j.root     histo_Data
bin                                                                             hww2l2v_13TeV_of2j_WH_SS_uu_1j       hww2l2v_13TeV_of2j_WH_SS_uu_1j       hww2l2v_13TeV_of2j_WH_SS_uu_1j       hww2l2v_13TeV_of2j_WH_SS_uu_1j       hww2l2v_13TeV_of2j_WH_SS_uu_1j       hww2l2v_13TeV_of2j_WH_SS_uu_1j       hww2l2v_13TeV_of2j_WH_SS_uu_1j       hww2l2v_13TeV_of2j_WH_SS_uu_1j       hww2l2v_13TeV_of2j_WH_SS_uu_1j       hww2l2v_13TeV_of2j_WH_SS_uu_1j       hww2l2v_13TeV_of2j_WH_SS_uu_1j       hww2l2v_13TeV_of2j_WH_SS_uu_1j       hww2l2v_13TeV_of2j_WH_SS_uu_1j       hww2l2v_13TeV_of2j_WH_SS_uu_1j       hww2l2v_13TeV_of2j_WH_SS_uu_1j       hww2l2v_13TeV_of2j_WH_SS_uu_1j       hww2l2v_13TeV_of2j_WH_SS_uu_1j       hww2l2v_13TeV_of2j_WH_SS_uu_1j       
process                                                                         qqH_htt                              qqH_hww                              ggZH_hww                             WH_htt                               WH_hww                               ggH_hww                              ggH_htt                              ZH_htt                               ZH_hww                               ggWW                                 WWewk                                VgS_L                                VVV                                  top                                  VgS_H                                WW                                   DY                                   VZ                                   
process                                                                         0                                    -1                                   -2                                   -3                                   -4                                   -5                                   -6                                   -7                                   -8                                   1                                    2                                    3                                    4                                    5                                    6                                    7                                    8                                    9                                    
rate                                                                            0.0000                               0.0000                               0.1430                               1.8754                               4.3483                               0.0000                               0.0025                               0.1237                               0.2792                               0.0000                               0.0000                               24.4085                              2.9429                               0.5277                               101.2245                             0.0000                               4.2145                               6.7641                               
----------------------------------------------------------------------------------------------------
lumi_13TeV_2016                                             lnN                 1.022                                1.022                                1.022                                1.022                                1.022                                1.022                                1.022                                1.022                                1.022                                1.022                                1.022                                1.022                                1.022                                1.022                                1.022                                1.022                                1.022                                1.022                                
lumi_13TeV_XYFact                                           lnN                 1.009                                1.009                                1.009                                1.009                                1.009                                1.009                                1.009                                1.009                                1.009                                1.009                                1.009                                1.009                                1.009                                1.009                                1.009                                1.009                                1.009                                1.009                                
lumi_13TeV_BBDefl                                           lnN                 1.004                                1.004                                1.004                                1.004                                1.004                                1.004                                1.004                                1.004                                1.004                                1.004                                1.004                                1.004                                1.004                                1.004                                1.004                                1.004                                1.004                                1.004                                
lumi_13TeV_DynBeta                                          lnN                 1.005                                1.005                                1.005                                1.005                                1.005                                1.005                                1.005                                1.005                                1.005                                1.005                                1.005                                1.005                                1.005                                1.005                                1.005                                1.005                                1.005                                1.005                                
lumi_13TeV_Ghosts                                           lnN                 1.004                                1.004                                1.004                                1.004                                1.004                                1.004                                1.004                                1.004                                1.004                                1.004                                1.004                                1.004                                1.004                                1.004                                1.004                                1.004                                1.004                                1.004                                
CMS_fake_syst_mm                                            lnN                 -                                    -                                    -                                    -                                    -                                    -                                    -                                    -                                    -                                    -                                    -                                    -                                    -                                    -                                    -                                    -                                    -                                    -                                    
CMS_fake_syst_em                                            lnN                 -                                    -                                    -                                    -                                    -                                    -                                    -                                    -                                    -                                    -                                    -                                    -                                    -                                    -                                    -                                    -                                    -                                    -                                    
CMS_fake_e_2016                                             shape               -                                    -                                    -                                    -                                    -                                    -                                    -                                    -                                    -                                    -                                    -                                    -                                    -                                    -                                    -                                    -                                    -                                    -                                    
CMS_fake_stat_e_2016                                        shape               -                                    -                                    -                                    -                                    -                                    -                                    -                                    -                                    -                                    -                                    -                                    -                                    -                                    -                                    -                                    -                                    -                                    -                                    
CMS_fake_m_2016                                             shape               -                                    -                                    -                                    -                                    -                                    -                                    -                                    -                                    -                                    -                                    -                                    -                                    -                                    -                                    -                                    -                                    -                                    -                                    
CMS_fake_stat_m_2016                                        shape               -                                    -                                    -                                    -                                    -                                    -                                    -                                    -                                    -                                    -                                    -                                    -                                    -                                    -                                    -                                    -                                    -                                    -                                    
CMS_btag_jes                                                shape               1.000                                1.000                                1.000                                1.000                                1.000                                1.000                                1.000                                1.000                                1.000                                1.000                                1.000                                1.000                                1.000                                1.000                                1.000                                1.000                                1.000                                1.000                                
CMS_btag_lf                                                 shape               1.000                                1.000                                1.000                                1.000                                1.000                                1.000                                1.000                                1.000                                1.000                                1.000                                1.000                                1.000                                1.000                                1.000                                1.000                                1.000                                1.000                                1.000                                
CMS_btag_hf                                                 shape               1.000                                1.000                                1.000                                1.000                                1.000                                1.000                                1.000                                1.000                                1.000                                1.000                                1.000                                1.000                                1.000                                1.000                                1.000                                1.000                                1.000                                1.000                                
