CSV; OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
1,hww,central,0,0.0,2.5,20,30,-1,1,0.96500647077258361
1,hww,up,0,0.0,2.5,20,30,-1,1,1.0599116970012492
1,hww,down,0,0.0,2.5,20,30,-1,1,0.87010124454391802
1,hww,central,1,0.0,2.5,20,30,-1,1,0.96500647077258361
1,hww,up,1,0.0,2.5,20,30,-1,1,1.0599116970012492
1,hww,down,1,0.0,2.5,20,30,-1,1,0.87010124454391802
1,hww,central,2,0.0,2.5,20,30,-1,1,0.6421618009296286
1,hww,up,2,0.0,2.5,20,30,-1,1,0.74990631405618058
1,hww,down,2,0.0,2.5,20,30,-1,1,0.53441728780307662
0,hww,central,0,0.0,2.5,20,30,-1,1,1.0688098096805709
0,hww,up,0,0.0,2.5,20,30,-1,1,1.1492107102999776
0,hww,down,0,0.0,2.5,20,30,-1,1,0.9884089090611643
0,hww,central,1,0.0,2.5,20,30,-1,1,1.0688098096805709
0,hww,up,1,0.0,2.5,20,30,-1,1,1.1492107102999776
0,hww,down,1,0.0,2.5,20,30,-1,1,0.9884089090611643
0,hww,central,2,0.0,2.5,20,30,-1,1,0.90097088869404496
0,hww,up,2,0.0,2.5,20,30,-1,1,0.93316876234198731
0,hww,down,2,0.0,2.5,20,30,-1,1,0.8687730150461026
2,hww,central,0,0.0,2.5,20,30,-1,1,0.94140069871360199
2,hww,up,0,0.0,2.5,20,30,-1,1,1.0631748536342485
2,hww,down,0,0.0,2.5,20,30,-1,1,0.81962654379295552
2,hww,central,1,0.0,2.5,20,30,-1,1,0.94140069871360199
2,hww,up,1,0.0,2.5,20,30,-1,1,1.0631748536342485
2,hww,down,1,0.0,2.5,20,30,-1,1,0.81962654379295552
2,hww,central,2,0.0,2.5,20,30,-1,1,0.53318879479254444
2,hww,up,2,0.0,2.5,20,30,-1,1,0.67094424096607652
2,hww,down,2,0.0,2.5,20,30,-1,1,0.39543334861901236
1,hww,central,0,0.0,2.5,30,10000,-1,1,1.0426317696236298
1,hww,up,0,0.0,2.5,30,10000,-1,1,1.0705827164867747
1,hww,down,0,0.0,2.5,30,10000,-1,1,1.0146808227604849
1,hww,central,1,0.0,2.5,30,10000,-1,1,1.0426317696236298
1,hww,up,1,0.0,2.5,30,10000,-1,1,1.0705827164867747
1,hww,down,1,0.0,2.5,30,10000,-1,1,1.0146808227604849
1,hww,central,2,0.0,2.5,30,10000,-1,1,0.56627542415442578
1,hww,up,2,0.0,2.5,30,10000,-1,1,0.77400682014884792
1,hww,down,2,0.0,2.5,30,10000,-1,1,0.35854402816000358
0,hww,central,0,0.0,2.5,30,10000,-1,1,1.0386552080183458
0,hww,up,0,0.0,2.5,30,10000,-1,1,1.0621523085622084
0,hww,down,0,0.0,2.5,30,10000,-1,1,1.0151581074744831
0,hww,central,1,0.0,2.5,30,10000,-1,1,1.0386552080183458
0,hww,up,1,0.0,2.5,30,10000,-1,1,1.0621523085622084
0,hww,down,1,0.0,2.5,30,10000,-1,1,1.0151581074744831
0,hww,central,2,0.0,2.5,30,10000,-1,1,0.79878054128743547
0,hww,up,2,0.0,2.5,30,10000,-1,1,0.88622354681604854
0,hww,down,2,0.0,2.5,30,10000,-1,1,0.71133753575882241
2,hww,central,0,0.0,2.5,30,10000,-1,1,1.0280280101574117
2,hww,up,0,0.0,2.5,30,10000,-1,1,1.0649329025754142
2,hww,down,0,0.0,2.5,30,10000,-1,1,0.9911231177394092
2,hww,central,1,0.0,2.5,30,10000,-1,1,1.0280280101574117
2,hww,up,1,0.0,2.5,30,10000,-1,1,1.0649329025754142
2,hww,down,1,0.0,2.5,30,10000,-1,1,0.9911231177394092
2,hww,central,2,0.0,2.5,30,10000,-1,1,0.45514397982883653
2,hww,up,2,0.0,2.5,30,10000,-1,1,0.71953859797038966
2,hww,down,2,0.0,2.5,30,10000,-1,1,0.19074936168728346
