category,variable,sample,ratio,ratio_up,ratio_down
incl_BoostedGen_,nCleanJet_boo,qqWWqq,1.03561354644,1.03544626914,1.03578179622
incl_BoostedGen_,nCleanJet_boo,QQH_200_RelW002,1.03371756,1.03304308693,1.03442504607
incl_BoostedGen_,nCleanJet_boo,GGH_125_RelW002,1.10348754775,1.08628403518,1.13823573689
incl_BoostedGen_,nCleanJet_boo,GGH_3000_RelW002,1.05204638738,1.05116584882,1.05295398644
incl_BoostedGen_,nCleanJet_boo,WW,1.05860360772,1.05824594076,1.05896795098
incl_BoostedGen_,nCleanJet_boo,QQH_250_RelW002,1.03383406056,1.03333027558,1.03435530033
incl_BoostedGen_,nCleanJet_boo,QQH_4000_RelW002,1.02537701559,1.02521846399,1.02553831155
incl_BoostedGen_,nCleanJet_boo,GGH_190_RelW002,1.05100518064,1.04937629577,1.05278034151
incl_BoostedGen_,nCleanJet_boo,QQH_500_RelW002,1.03699930301,1.03669607956,1.03730853264
incl_BoostedGen_,nCleanJet_boo,GGH_250_RelW002,1.07736879604,1.07556285906,1.07929436315
incl_BoostedGen_,nCleanJet_boo,VVV,1.01893072994,1.01826016143,1.01962202772
incl_BoostedGen_,nCleanJet_boo,QQH_155_RelW002,1.05808463564,1.05802382524,1.05817117686
incl_BoostedGen_,nCleanJet_boo,QQH_450_RelW002,1.03559639646,1.0352988276,1.0359004753
incl_BoostedGen_,nCleanJet_boo,QQH_600_RelW002,1.03151845524,1.03124015517,1.03180214449
incl_BoostedGen_,nCleanJet_boo,GGH_145_RelW002,1.12022090227,1.11620648466,1.13152976692
incl_BoostedGen_,nCleanJet_boo,GGH_120_RelW002,1.48223695618,1.42714561331,1.65011047987
incl_BoostedGen_,nCleanJet_boo,GGH_2000_RelW002,1.06461550531,1.06395805886,1.06528907026
incl_BoostedGen_,nCleanJet_boo,QQH_180_RelW002,1.02493922769,1.02302989952,1.02706377401
incl_BoostedGen_,nCleanJet_boo,GGH_230_RelW002,1.05048286574,1.04872623516,1.05236752969
incl_BoostedGen_,nCleanJet_boo,GGH_1000_RelW002,1.06422938874,1.06369659772,1.06477394371
incl_BoostedGen_,nCleanJet_boo,ggH_htt,0.957593312591,0.953320497321,0.962653231515
incl_BoostedGen_,nCleanJet_boo,QQH_800_RelW002,1.0299701484,1.02967933278,1.03026713691
incl_BoostedGen_,nCleanJet_boo,QQH_1000_RelW002,1.0338105288,1.03354503653,1.03408175847
incl_BoostedGen_,nCleanJet_boo,GGH_155_RelW002,3.10262460415,2.76480176093,8.81898481929
incl_BoostedGen_,nCleanJet_boo,QQH_126_RelW002,0.892579653673,0.892404539525,1.05565153931
incl_BoostedGen_,nCleanJet_boo,QQH_550_RelW002,1.03711905718,1.03683608236,1.03740741499
incl_BoostedGen_,nCleanJet_boo,GGH_4000_RelW002,1.04695121617,1.04616654729,1.04776253906
incl_BoostedGen_,nCleanJet_boo,QQH_160_RelW002,1.11254160337,1.07157407701,1.36168297066
incl_BoostedGen_,nCleanJet_boo,GGH_550_RelW002,1.06482635808,1.06433494884,1.06532733859
incl_BoostedGen_,nCleanJet_boo,ggWW,1.04296581413,1.04214386628,1.04382030375
incl_BoostedGen_,nCleanJet_boo,GGH_650_RelW002,1.06616274005,1.0657435879,1.06658985617
incl_BoostedGen_,nCleanJet_boo,GGH_400_RelW002,1.05370976871,1.05293485775,1.05451143772
incl_BoostedGen_,nCleanJet_boo,ZH_hww,1.05478576879,1.05187132736,1.05802087507
incl_BoostedGen_,nCleanJet_boo,QQH_5000_RelW002,1.02116148874,1.02101013672,1.02131591884
incl_BoostedGen_,nCleanJet_boo,GGH_270_RelW002,1.06300776824,1.06138666575,1.06472352406
incl_BoostedGen_,nCleanJet_boo,QQH_2500_RelW002,1.02484945393,1.02468077916,1.02502092087
incl_BoostedGen_,nCleanJet_boo,QQH_1500_RelW002,1.0307932983,1.03055084341,1.031040698
incl_BoostedGen_,nCleanJet_boo,ggH_hww,1.10348754775,1.08628403518,1.13823573689
incl_BoostedGen_,nCleanJet_boo,GGH_450_RelW002,1.06362892832,1.06312194692,1.06414816504
incl_BoostedGen_,nCleanJet_boo,QQH_3000_RelW002,1.0259257512,1.02575516877,1.02609908603
incl_BoostedGen_,nCleanJet_boo,QQH_650_RelW002,1.03666298589,1.03641049267,1.03692026976
incl_BoostedGen_,nCleanJet_boo,QQH_2000_RelW002,1.02920682847,1.02899052992,1.02942686486
incl_BoostedGen_,nCleanJet_boo,QQH_400_RelW002,1.02738045162,1.02698234092,1.02778825629
incl_BoostedGen_,nCleanJet_boo,QQH_210_RelW002,1.03405874572,1.03301879032,1.03515913478
incl_BoostedGen_,nCleanJet_boo,QQH_150_RelW002,1.00027958401,1.00014051277,1.02688564048
incl_BoostedGen_,nCleanJet_boo,WH_htt,0.980427702466,0.979993100225,0.980869693977
incl_BoostedGen_,nCleanJet_boo,GGH_900_RelW002,1.06676420034,1.06625796689,1.06728117425
